uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs
parser/code_parser.py:get_list_function_name,get_list_function_name,function,17,27,26,352,13.04,1,1,['file_path'],[None],[None],23,"['    """"""The function use to get all functions of the python file\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: list_functions   - List all python functions in the input file\n', '    Example Output:\n', ""        ['func1', 'func2']\n"", '    """"""\n']"
parser/code_parser.py:get_list_class_name,get_list_class_name,function,17,27,26,347,12.85,1,1,['file_path'],[None],[None],45,"['    """"""The function use to get all classes of the python file\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: list_classes     - List all python classes in the input file\n', '    Example Output:\n', ""        ['Class1', 'Class1']\n"", '    """"""\n']"
parser/code_parser.py:get_list_class_methods,get_list_class_methods,function,26,42,37,620,14.76,2,1,['file_path'],[None],[None],70,"['    """"""The function use to get all classes and all methods in this class of the python file\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: An array of class info [{dict}, {dict}, ...]\n', '    Example Output:\n', '    [\n', '        {""class_name"": ""Class1"", ""listMethods"": [""method1"", ""method2"", ""method3""]},\n', '        {""class_name"": ""Class2"", ""listMethods"": [""method4"", ""method5"", ""method6""]},\n', '    ]\n', '    """"""\n']"
parser/code_parser.py:get_list_variable_global,get_list_variable_global,function,12,26,24,357,13.73,1,2,['file_path'],[None],[None],102,"['    """"""The function use to get all global variable of the python file\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: list_var         - Array of all global variable\n', '    Example Output:\n', ""        ['Var1', 'Var2']\n"", '    """"""\n']"
parser/code_parser.py:_get_docs,_get_docs,function,12,77,32,669,8.69,1,6,"['all_lines', 'index_1', 'func_lines']","[None, None, None]","[None, None, None]",124,[]
parser/code_parser.py:get_list_function_info,get_list_function_info,function,29,55,48,787,14.31,2,0,['file_path'],[None],[None],164,"['    """"""The function use to get functions stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Array of functions, lines of the function, and variable in function\n', '    Example Output:\n', '        [\n', '            {""name"": ""function_name1"", ""lines"": 20, ""variables"": [""a"", ""b"", ""c""]},\n', '            {""name"": ""function_name2"", ""lines"": 30, ""variables"": []},\n', '        ]\n', '    """"""\n']"
parser/code_parser.py:get_list_class_info,get_list_class_info,function,20,49,42,584,11.92,2,0,['file_path'],[None],[None],202,"['    """"""The class use to get functions stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Array of functions, lines of the function, and variable in function\n', '    Example Output:\n', '        [\n', '            {""function"": ""function_name1"", ""lines"": 20, ""variables"": [""a"", ""b"", ""c""]},\n', '            {""function"": ""function_name2"", ""lines"": 30, ""variables"": []},\n', '        ]\n', '    """"""\n']"
parser/code_parser.py:get_list_method_info,get_list_method_info,function,35,65,54,966,14.86,3,0,['file_path'],[None],[None],238,"['    """"""get_list_method_info\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Array of methods in class\n', '    Example Output:\n', '        [\n', '            {""function"": ""function_name1"", ""lines"": 20, ""variables"": [""a"", ""b"", ""c""]},\n', '            {""function"": ""function_name2"", ""lines"": 30, ""variables"": []},\n', '        ]\n', '    """"""\n']"
parser/code_parser.py:get_list_method_stats,get_list_method_stats,function,6,12,11,148,12.33,0,1,['file_path'],[None],[None],280,"['    """"""The function use to get methods stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Dataframe with bellow fields\n', '            uri:   path1/path2/filename.py:function1\n', '            name: function1\n', '            n_lines\n', '            n_words\n', '            n_words_unqiue\n', '            n_characters\n', '            avg_char_per_word = n_charaecter / n_words\n', '            n_loop  : nb of for, while loop\n', '            n_ifthen  : nb of if_then\n', '        \n', '        **** return None if no function in file\n', '    Example Output:\n', '                                                    uri                                               name    type  n_variable  n_words  n_words_unique  n_characters  avg_char_per_word  n_loop  n_ifthen\n', '    0   d:/Project/job/test2/zz936/parser/test/keys.py...                              VerifyingKey:__init__  method           2       11              11           100           9.090909       0         1      \n', '    1   d:/Project/job/test2/zz936/parser/test/keys.py...                     VerifyingKey:from_public_point  method          10       13              12           185          14.230769       0         0      \n', '    2   d:/Project/job/test2/zz936/parser/test/keys.py...                           VerifyingKey:from_string  method          17       45              39           504          11.200000       0         1      \n', '    3   d:/Project/job/test2/zz936/parser/test/keys.py...                              VerifyingKey:from_pem  method           2        2               2            39          19.500000       0         0      \n', '    4   d:/Project/job/test2/zz936/parser/test/keys.py...                              VerifyingKey:from_der  method          19       64              38           683          10.671875       0         3      \n', '    5   d:/Project/job/test2/zz936/parser/test/keys.py...              VerifyingKey:from_public_key_recovery  method           4        8               8           137          17.125000       0         0      \n', '    6   d:/Project/job/test2/zz936/parser/test/keys.py...  VerifyingKey:from_public_key_recovery_with_digest  method          13       24              23           288          12.000000       0         0      \n', '    7   d:/Project/job/test2/zz936/parser/test/keys.py...                             VerifyingKey:to_string  method           6       11               8           145          13.181818       0         0      \n', '    8   d:/Project/job/test2/zz936/parser/test/keys.py...                                VerifyingKey:to_pem  method           2        4               4            42          10.500000       0         0  \n', '    """"""\n']"
parser/code_parser.py:get_list_class_stats,get_list_class_stats,function,6,12,11,147,12.25,0,1,['file_path'],[None],[None],316,"['    """"""The class use to get functions stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Dataframe with bellow fields\n', '            uri:   path1/path2/filename.py:function1\n', '            name: function1\n', '            n_lines\n', '            n_words\n', '            n_words_unqiue\n', '            n_characters\n', '            avg_char_per_word = n_charaecter / n_words\n', '            n_loop  : nb of for, while loop\n', '            n_ifthen  : nb of if_then\n', '        \n', '        **** return None if no function in file\n', '    Example Output:\n', '                                                    uri               name   type  n_variable  n_words  n_words_unique  n_characters  avg_char_per_word  n_loop  n_ifthen\n', '    0  d:/Project/job/test2/zz936/parser/test/keys.py...  BadSignatureError  class           0        1               1             4           4.000000       0         0\n', '    1  d:/Project/job/test2/zz936/parser/test/keys.py...     BadDigestError  class           0        1               1             4           4.000000       0         0\n', '    2  d:/Project/job/test2/zz936/parser/test/keys.py...       VerifyingKey  class          84      301             189          3584          11.906977       0         7\n', '    3  d:/Project/job/test2/zz936/parser/test/keys.py...         SigningKey  class         138      482             310          4615           9.574689       3         9\n', '    """"""\n']"
parser/code_parser.py:get_list_function_stats,get_list_function_stats,function,6,12,11,150,12.5,0,1,['file_path'],[None],[None],347,"['    """"""The function use to get functions stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Dataframe with bellow fields\n', '            uri:   path1/path2/filename.py:function1\n', '            name: function1\n', '            n_lines\n', '            n_words\n', '            n_words_unqiue\n', '            n_characters\n', '            avg_char_per_word = n_charaecter / n_words\n', '            n_loop  : nb of for, while loop\n', '            n_ifthen  : nb of if_then\n', '        \n', '        **** return None if no function in file\n', '    Example Output:\n', '            uri                                 name  n_variable  n_words  n_words_unique  n_characters  avg_char_per_word  n_loop  n_ifthen\n', '        0   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...     prepare_target_and_clean_up_test           8       92              32           535           5.815217       0         0\n', '        1   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...                 clean_up_config_test           6       55              19           241           4.381818       0         1\n', '        2   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...         check_default_network_config          22      388              74           955           2.461340       1         5\n', '        3   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...                     check_module_env           9      250              54           553           2.212000       1         1\n', '        4   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...     provision_certificates_to_target           7      101              29           384           3.801980       0         3\n', '        5   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...            config_session_connection           2       14               8            97           6.928571       0         0\n', '        6   d:\\Project\\job\\test2\\zz936\\parser/test/test2.p...  config_cipher_suite_and_tcps_action           8      101              30           335           3.316832       0         3\n', '    """"""\n']"
parser/code_parser.py:get_stats,get_stats,function,16,68,46,652,9.59,0,0,"['df', 'file_path']","['pd.DataFrame', 'str']","[None, None]",383,"['    """""" Calculate stats from datafaframe\n', '    Args:\n', '        df: pandas DataFrame\n', '\n', '    Returns:\n', '        pandas DataFrame\n', '\n', '    """"""\n']"
parser/code_parser.py:get_file_stats,get_file_stats,function,11,21,19,244,11.62,1,0,['file_path'],[None],[None],412,"['    """"""The function use to get file stars\n', '    Args:\n', '        IN: file_path         - the file path input\n', '        OUT: Dict of file stars\n', '    Example Output:\n', '        {\n', '            ""total_functions"": 22,\n', '            ""avg_lines"" : 110.2,\n', '            ""total_class"": 3\n', '        }\n', '    """"""\n']"
parser/code_parser.py:_get_words,_get_words,function,6,23,21,154,6.7,1,1,['row'],[None],[None],440,[]
parser/code_parser.py:_get_avg_char_per_word,_get_avg_char_per_word,function,1,9,9,76,8.44,0,0,['row'],[None],[None],450,[]
parser/code_parser.py:_validate_file,_validate_file,function,5,34,18,227,6.68,0,3,['file_path'],[None],[None],454,"['    """"""Check if the file is existed and it\'s a python file\n', '    """"""\n']"
parser/code_parser.py:_clean_data,_clean_data,function,10,75,27,699,9.32,3,9,['array'],[None],[None],469,"['    """"""Remove empty lines and comment lines start with #\n', '    """"""\n']"
parser/code_parser.py:_remove_empty_line,_remove_empty_line,function,2,7,7,37,5.29,0,1,['line'],[None],[None],512,[]
parser/code_parser.py:_remmove_commemt_line,_remmove_commemt_line,function,2,17,14,97,5.71,0,1,['line'],[None],[None],516,[]
parser/code_parser.py:_get_and_clean_all_lines,_get_and_clean_all_lines,function,5,11,8,124,11.27,0,1,['file_path'],[None],[None],522,"['    """"""Prepare all lines of the file\n', '    """"""\n']"
parser/code_parser.py:_get_all_line,_get_all_line,function,33,195,78,2107,10.81,7,10,['file_path'],[None],[None],532,[]
parser/code_parser.py:_get_all_lines_in_function,_get_all_lines_in_function,function,21,65,44,661,10.17,3,4,"['function_name', 'array', 'indentMethod']","[None, None, None]","[None, None, ""''""]",538,"['    """"""The function use to get all lines of the function\n', '    Args:\n', '        IN: function_name - name of the function will be used to get all line\n', '        IN: array         - list all lines of the file have this input function\n', '        OUT: list_lines   - Array of all line of this function\n', '        OUT: indent       - The indent of this function (this will be used for another calculation)\n', '    """"""\n']"
parser/code_parser.py:_get_all_lines_in_class,_get_all_lines_in_class,function,16,63,44,633,10.05,2,3,"['class_name', 'array']","[None, None]","[None, None]",583,"['    """"""The function use to get all lines of the class\n', '    Args:\n', '        IN: class_name    - name of the class will be used to get all line\n', '        IN: array         - list all lines of the file have this input class\n', '        OUT: list_lines   - Array of all line of this class\n', '    """"""\n']"
parser/code_parser.py:_get_all_lines_define_function,_get_all_lines_define_function,function,20,49,36,538,10.98,2,3,"['function_name', 'array', 'indentMethod']","[None, None, None]","[None, None, ""''""]",622,"['    """"""The function use to get all lines define_function\n', '    Args:\n', '        IN: function_name - name of the function will be used to get all line\n', '        IN: array         - list all lines of the file have this input function\n', '        OUT: list_lines   - Array of all line used to define the function\n', '        OUT: indent       - The indent of this function (this will be used for another calculation)\n', '    """"""\n']"
parser/code_parser.py:_get_define_function_stats,_get_define_function_stats,function,24,145,71,1337,9.22,4,8,['array'],[None],[None],659,"['    """"""The function use to get define function stats: arg_name, arg_type, arg_value\n', '    Args:\n', '        IN: array         - list all lines of function to get variables\n', '        OUT: function stats: arg_name, arg_type, arg_value\n', '    """"""\n']"
parser/code_parser.py:_get_function_stats,_get_function_stats,function,16,206,105,1958,9.5,4,11,"['array', 'indent']","[None, None]","[None, None]",720,"['    """"""The function use to get all lines of the function\n', '    Args:\n', '        IN: indent        - indent string\n', '        IN: array         - list all lines of function to get variables\n', '        OUT: list_var     - Array of all variables\n', '    """"""\n']"
parser/code_parser.py:export_stats_pertype,export_stats_pertype,function,9,46,22,381,8.28,0,4,"['in_path', 'type', 'out_path']","['str', 'str', 'str']","['None', 'None', 'None']",809,"['    """"""\n', '        python code_parser.py type <in_path> <type> <out_path>\n', '    Returns:\n', '\n', '    """"""\n']"
parser/code_parser.py:export_stats_perfile,export_stats_perfile,function,8,36,16,336,9.33,0,3,"['in_path', 'out_path']","['str', 'str']","['None', 'None']",835,"['    """"""\n', '        python code_parser.py  export_stats_perfile <in_path> <out_path>\n', '\n', '    Returns:\n', '\n', '    """"""\n']"
parser/code_parser.py:export_stats_perrepo,export_stats_perrepo,function,12,67,29,640,9.55,1,4,"['in_path', 'out_path']","['str', 'str']","['None', 'None']",859,"['    """""" \n', '        python code_parser.py  export_stats_perfile <in_path> <out_path>\n', '\n', '    Returns:\n', '        1  repo   --->  a single file stats for all sub-diractory\n', '    """"""\n']"
parser/code_parser.py:test_example,test_example,function,3,7,7,233,33.29,0,0,[],[],[],895,[]
